country_name, SDG_one_ind_cov_min, children, mothers_newborns, severe_disab, unemp, old_age, work_injury, social_assist, pension, health,Column1,_1
Vanuatu, 57.4, …, …, …, 0.0, …, 28.1, 53.3, …, 48.0,,
Viet Nam, 38.8, …, 44.0, 83.5, 66.6, 40.9, 26.2, 24.6, 2.3, 75.0,,
Afghanistan, 7.5, 0.4, 1.7, 13.6, 1.7, 24.7, 4.2, 5.9, 1.8, 37.0,,
Bangladesh, 28.4, 29.4, 20.9, 18.3, 0.0, 39.0, 12.5, 14.9, 0.5, 48.0,,
Bhutan, 8.8, 13.5, 10.4, …, 0.0, …, 28.4, 5.0, 10.0, 62.0,,
India, 24.4, 24.1, 41.5, 5.6, 0.0, 42.5, 3.7, 16.4, 15.5, 55.0,,
Iran, of, 27.8, 16.4, 13.1, 9.3, 6.7, 21.3, 45.8, 9.3, 22.4,72, 
Maldives, 21.2, 8.2, 26.2, 42.7, 0.0, 100.0, …, 8.1, 19.6, 62.0,,
Nepal, 17.0, 22.9, 9.8, 13.7, 0.0, 84.2, 4.5, 14.8, 3.7, 48.0,,
Pakistan, 9.2, 5.4, …, 1.7, 0.0, 5.8, 2.7, 5.0, 5.7, 45.0,,
Sri Lanka, 36.4, 32.0, 29.4, 18.0, 0.0, 35.7, 58.0, 16.0, 24.7, 66.0,,
Armenia, 54.4, 30.2, 61.6, 100.0, 0.0, 65.2, 53.2, 19.6, 24.6, 69.0,,
Azerbaijan, 39.0, 16.9, 16.0, 100.0, 19.1, 72.8, 32.1, 13.4, 2.8, 65.0,,
Cyprus, 61.2, 60.3, 100.0, 22.6, 17.8, 97.8, 68.2, 24.1, 5.5, 78.0,,
Georgia, 97.1, 48.1, 26.0, 100.0, 0.0, 90.9, 48.9, 92.9, 3.2, 66.0,,
Israel, 54.9, …, 100.0, 89.2, 42.0, 100.0, 74.1, …, 64.4, 82.0,,
Kazakhstan, 100.0, 57.4, 44.2, 100.0, 8.9, 99.6, 75.4, 74.2, 68.8, 76.0,,
Kyrgyzstan, 41.7, 16.9, 23.8, 65.1, 2.7, 100.0, 64.6, 14.1, 36.2, 7.0,,
Tajikistan, 26.6, 14.0, 66.5, 49.0, 20.8, 93.7, …, 7.5, 21.3, 68.0,,
Turkey, 79.8, …, …, 5.6, 18.3, 100.0, 60.3, …, 32.3, 74.0,,
Turkmenistan, …, …, …, …, …, …, …, …, …, 7.0,,
Uzbekistan, 42.7, 29.2, 16.0, 39.7, 0.8, 100.0, 44.1, 15.6, …, 73.0,,
Belarus, 36.0, …, 100.0, 100.0, 44.6, 100.0, 70.9, …, 42.7, 76.0,,
Bulgaria, 88.3, 48.6, 100.0, 100.0, 35.4, 94.0, 86.8, 28.8, 46.8, 66.0,,
Czechia, 88.8, 10.8, 100.0, 100.0, 45.7, 91.3, 66.2, 32.0, 5.6, 76.0,,
Hungary, 86.2, 100.0, 100.0, 100.0, 26.3, 90.5, 78.3, 56.0, 54.1, 74.0,,
Poland, 84.9, 100.0, 100.0, 100.0, 16.5, 83.6, 100.0, 52.0, 5.5, 75.0,,
Republic of Moldova, 42.0, …, 100.0, 100.0, 10.5, 75.2, 71.6, …, 3.2, 69.0,,
Romania, 95.0, 100.0, 100.0, 100.0, 15.8, 93.5, 63.1, 82.6, 34.2, 74.0,,
Russian, Federation, 90.1, 100.0, 63.0, 100.0, 82.7, 100.0, 79.1, 76.0, 61.6,74, 
Slovakia, 92.1, 100.0, 100.0, 100.0, 13.0, 90.6, 66.4, 70.0, 56.8, 77.0,,
Ukraine, 73.0, 100.0, 100.0, 100.0, 84.1, 96.0, …, 39.0, 25.5, 68.0,,
Albania, …, …, …, …, 6.9, 77.0, 34.0, …, 24.1, 59.0,,
Andorra, …, …, …, …, 11.1, …, …, …, …, …,,
Austria, 98.6, 100.0, 100.0, 100.0, 100.0, 100.0, 77.4, 93.0, 53.7, 79.0,,
Belgium, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 63.1, 100.0, 49.3, 84.0,,
Bosnia and Herzegovina, 40.0, …, 100.0, 100.0, 5.3, 69.5, …, …, 2.7, 61.0,,
Croatia, 56.0, 47.0, 100.0, 100.0, 22.4, 89.8, 68.0, …, 4.3, 71.0,,
Denmark, 89.5, 100.0, 100.0, 100.0, 93.7, 100.0, 88.0, 63.7, 62.2, 81.0,,
Estonia, 98.4, 100.0, 100.0, 100.0, 47.5, 100.0, 76.8, 91.7, 47.5, 75.0,,
Finland, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 66.5, 100.0, 53.0, 78.0,,
France, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 74.1, 100.0, 45.3, 78.0,,
Germany, 99.5, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 96.0, 53.2, 83.0,,
Greece, 64.0, …, 100.0, 100.0, 26.4, 95.8, 46.9, …, 49.2, 75.0,,
Guernsey, …, …, …, …, …, …, …, …, …, …,,
Iceland, 81.0, 63.4, 100.0, 100.0, 100.0, 71.4, 95.1, …, 75.3, 84.0,,
Ireland, 90.1, 100.0, 100.0, 100.0, 100.0, 100.0, 71.8, 73.8, 62.7, 76.0,,
Isle of Man, …, …, …, …, 80.0, …, …, …, …, …,,
Italy, 82.0, …, 100.0, 91.4, 48.2, 94.4, 72.2, 42.6, 48.7, 82.0,,
Jersey, …, …, …, …, …, …, …, …, …, …,,
Latvia, 96.5, 100.0, 100.0, 100.0, 40.0, 92.0, 69.2, 85.0, 61.4, 71.0,,
Liechtenstein, …, 100.0, 100.0, 100.0, 67.2, 100.0, …, …, …, …,,
Lithuania, 92.7, 100.0, 100.0, 100.0, 37.7, 97.1, 64.7, 51.3, 59.0, 73.0,,
Luxembourg, 96.0, 100.0, 100.0, 100.0, 49.8, 100.0, 77.1, …, 59.3, 83.0,,
Malta, …, …, 100.0, 59.8, 49.7, 100.0, 73.5, …, 56.5, 82.0,,
Monaco, …, …, …, …, …, …, …, …, …, …,,
Montenegro, 41.0, …, 100.0, 100.0, 29.3, 90.6, …, …, 43.8, 68.0,,
Netherlands, 97.5, 100.0, 100.0, 100.0, 74.8, 100.0, 97.6, 90.3, 63.6, 86.0,,
North Macedonia, 39.0, …, 100.0, 100.0, 17.5, 68.6, …, …, 44.7, 72.0,,
Norway, 95.8, 100.0, 100.0, 100.0, 58.2, 100.0, 89.6, 83.1, 63.8, 87.0,,
Portugal, 90.2, 93.1, 100.0, 89.0, 40.2, 90.4, 77.3, 59.3, 53.8, 82.0,,
San Marino, …, …, 100.0, …, …, …, 96.9, …, …, …,,
Serbia, 39.0, …, …, …, 6.6, 63.5, 66.2, …, 29.9, 65.0,,
Slovenia, 100.0, 79.4, 96.0, 100.0, 29.7, 100.0, 80.5, 100.0, 54.5, 79.0,,
Spain, 80.9, 100.0, 100.0, 77.3, 44.2, 98.2, 76.2, 45.0, 46.9, 83.0,,
Sweden, 100.0, 100.0, 100.0, 100.0, 60.2, 100.0, 84.8, 100.0, 64.6, 86.0,,
Switzerland, 92.7, 100.0, 100.0, 96.9, 62.0, 100.0, 66.7, 70.2, 68.3, 83.0,,
United Kingdom, 93.5, 100.0, 100.0, 100.0, 56.4, 100.0, 68.0, 76.6, 55.7, 87.0,,
