country_name,cow_code,independence,labor_workinjury_firstlaw,labor_workinjury_firstlaw_source,labor_workinjury_firstins,labor_workinjury_firstins_source,labor_workinjury_first_fund,labor_workinjury_first_fund_source,labor_workinjury_first_socins,labor_workinjury_first_socins_source,labor_workinjury_firstnat,labor_workinjury_firstnat_carriedover,labor_workinjury_firstlaw_programtype,**_source,labor_workinjury_firstlaw_sspw,labor_workinjury_firstlaw_whitecollar,labor_workinjury_firstlaw_whitecollar_coverage,labor_workinjury_firstlaw_whitecollar_fullcoverage,**_source,labor_workinjury_firstlaw_bluecollar,labor_workinjury_firstlaw_bluecollar_coverage,labor_workinjury_firstlaw_bluecollar_fullcoverage,**_source,labor_workinjury_firstins_bluecollar_fullcoverage,**_source,labor_workinjury_firstlaw_agriworkers,labor_workinjury_firstlaw_agriworkers_coverage,labor_workinjury_firstlaw_agriworkers_fullcoverage,**_source,workinjury_replacement_rate_perm_2020,workinjury_duration_perm_2020,workinjury_replacement_rate_temp_2020,workinjury_duration_temp_2020,Region,global_south,workinjury_coverage_GEIP,workinjury_coverage_WSPR,colonial_history
Azerbaijan,373,1918,1922,Abramson 1929,1922,Abramson 1929,,,1922,Abramson 1932,1922,no,Risk-Pooling,Abramson 1929,1956,,,1922,ILO LS 1922,1922,,1922,ILO LS 1922,1922,ILO LS 1922,,,1922,ILO LS 1922,60,variable,100,unlimited,Western Asia,0,0.397,32.1,Russian
Bahamas,31,1973,1943,Mesa-Lago 1988,1972,Mesa-Lago 1988; ILO LS 1972; SSPW 1981,,,1972,Mesa-Lago 1988; ILO LS 1972; SSPW 1981,1972,yes,Employer liability,Mesa-Lago 1988,1943,,,1972,SSPW 1981,1943,,1972,Mesa-Lago 1988; SSPW 1981,1972,SSPW 1973,,,1972,ILO LS 1972; SSPW 1981,66.6,unlimited,66.6,10 months,Latin America and the Caribbean,1,0.826,67.4,UK
Bahrain,692,1971,1976,Dixon 1987,1976,Dixon 1987,,,1976,Dixon 1987,1976,no,Risk-Pooling,Dixon 1987,1976,,,2004,SSPW 2004,,,2004,SSPW 2004,none,SSPW 2018,,,2004,SSPW 2004,75,unlimited,100,unlimited,Western Asia,1,0.846,61.7,UK
Bangladesh,771,1971,1923,ILO LS 1923,2006,Bangladesh 2006,2006,Bangladesh,2006,Bangladesh 2006,1971,yes,Employer liability,ILO LS 1923,1923,none,,none,SSPW 2018,1923,Heavy machinery work,2006,ILO LS 1923; SSPW 1999; SSPW 2018,none,SSPW 2018,1982,"10 or more workers, must be 'industrial' in scope",none,,41.7,12 months,41.7,12 months,Southern Asia,1,0.125,12.5,UK
Barbados,53,1966,1916,SSPW 2017,1943,ILR 1943:48(4),,,1943,ILR 1943:48(4),1966,yes,Employer liability,SSPW 2017,1916,,,1967,SSPW 1981,1916,,1967,Barbados 1967,1967,SSPW 1981; Barbados 1967,,,1943,ILR 1943:8(4),85,unlimited,90,12 months,Latin America and the Caribbean,1,0.656,65,UK
Belarus,370,1991,1922,ILO LS 1922,1922,ILO LS 1922,,,1922,Abramson 1929,1991,yes,Risk-Pooling,ILO 1922,1903,,,1922,ILO LS 1922,1922,,1922,ILO LS 1922,1922,ILO LS 1922,,,1922,ILO LS 1922,45,unlimited,100,unlimited,Eastern Europe,0,0.709,70.9,Russian
Belgium,211,1830,1903,ILO 1935 (Report on Social Insurance),1903,ILO 1935 (Report on Social Insurance),,,1903,"Meeker 1914, 141",1903,no,Risk-Pooling,Meeker 1914: 141,1903,1903,"wage-earners only, and from 1931 white-collar only when exposed to severe risk",1961,ILO LS 1931; SSPW 1961,1903,minimum 5 employees,1903,Meeker 1914; US Bureau of Labor Statistics 1917,1931,ILO LS 1931,1903,,1903,ILO 1935,90,unlimted,90,unlimited,Western Europe,0,0.631,63.1,None
Belize,80,1964,1979,SSPW 2017,1979,Ueber et al. 1987,,,1979,Ueber et al. 1987,1979,no,Risk-Pooling,Ueber et al. 1987,1979,,,1979,SSPW 1999,,,1979,Jenkins 1981,1979,SSPW 1999,,,1979,SSPW 1999,60,unlimited,75,6 months,Latin America and the Caribbean,1,0.806,71.4,UK
Benin,434,1960,1925,Buell 1925,1960,SSPW 1981; ILR 1961 84(3),1998,,1960,SSPW 1981,1998,yes,Risk-Pooling,SSPW 1981,1959,,,1960,UN 1992; ILR 1961 84(3),1925,French workers only,1960,UN 1992; ILR 1961 84(3),1960,UN 1992; ILR 1961 84(3),,,1960,UN 1992; ILR 1961 84(3),90,unlimited,66.7,12 months,Sub-Saharan Africa,1,0.052,4,France
Bhutan,760,1971,1979,"Bhutan 1979, Res. 33",1984,Bhutan 1984,,,1984,Bhutan 1984,1979,no,Employer liability,"Bhutan 1979, Res. 33",1994,,,1984,Bhutan 1984,1979,,1984,Bhutan 1984,2007,Bhutan 2007,,,1984,Bhutan 1984,100,12 months,70,unlimited,Southern Asia,1,NA,28.4,None
Bolivia,145,1848,1924,ILO LS 1924,1935,ILO LS 1935,1935,ILO LS 1935,1956,ILO LS 1956,1924,no,Employer liability,ILO LS 1924,1924,1924,over 20k bolivianos undertakings,1939,ILO 1935; ILO LS 1939,1924,"All industrial workers employed in firms whose capital value exceeds 20,000 Bolivianos, this means smaller firms were excluded",1939,ILO LS 1939,1949,ILO LS 1949,1951,,1997,"Urquidi 1974, Plurinational State of Bolivia 1997",75,unlimited,100,6 months,Latin America and the Caribbean,1,0.16,24.6,Spain
Bosnia and Herzegovina,346,1992,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1922,Bureau of Labor Statistics 1943,1992,yes,Risk-Pooling,ILO LS 1946,,,,1946,ILO LS 1946,1922,,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1958,ILO LS 1958; SSPW 1961,,,,,,1,NA,NA,None
Botswana,571,1966,1936,ILO LS 1936,1998,Botswana 1998,1977,SSPW 1981,1998,Botswana 1998,1977,yes,Employer liability,Suter 1968,1936,,,1977,SSPW 1981,1936,,1977,SSPW 1981,1998,SSPW 1999,,,1977,SSPW 1981,100,60 months,50,6 months,Sub-Saharan Africa,1,0.431,NA,UK
Brazil,140,1822,1919,Tixier 1935,1919,Tixier 1935,1935,Tixier 1935; ILO LS 1935,1935,"ILO LS 1935, inferred as an extension of British law for coal miner",1919,no,Risk-Pooling,Tixier 1935,1919,,,1935,ILO LS 1935,1919,,1935,ILO LS 1935; Tixier 1935,1944,ILO LS 1944,,,1935,ILO LS 1935,90,unlimited,91,unlimited,Latin America and the Caribbean,1,0.565,48.7,Portugal
Brunei,835,1984,1932,Singapore 1932,1957,Brunei 1957,,,1957,Brunei 1957,1984,yes,Employer liability,Singapore 1932,1957,,,1984,Brunei 1984; SSPW 2004,1932,,1984,Brunei 1957,1984,Brunei 1984; SSPW 2004,,,1984,Brunei 1984; SSPW 2004,100,60 months,66.7,60 months,South-eastern Asia,1,0.88,91.2,UK
Bulgaria,355,1908,1906,Yanouloff 1924,1909,"Yanouloff 1924, p.444",1909,"Yanouloff 1924, p.444",1924,"Yanouloff 1924, p.444",1906,no,Employer liability,Yanouloff 1924,1924,,,1924,ILO 1935,1906,"public workers, 1908 select industries",1918,"Yanouloff 1924, p.445",1924,ILO LS 1924,,,1924,ILO LS 1924,47,unlimited,90,unlimited,Eastern Europe,0,0.662,86.8,Russian
Burkina Faso,439,1960,1925,"Buell; ILO LS 1926, p. 686",1962,SSPW 1967,,,1962,SSPW 1967,1962,yes,Employer liability,"ILO LS 1926, p. 686",1959,,,1962,SSPW 1967,1925,"Whites only in practice, death only compensation",1962,Buell 1928; SSPW 1967,1962,SSPW 1967,,,1962,SSPW 1967,85,unlimited,66.7,unlimited,Sub-Saharan Africa,1,0.055,8.2,France
Burundi,516,1962,1949,ILO LS 1949,1949,ILO LS 1949,1950,ILR 1963 87(5),1962,ILR 1963 87(5),1962,yes,Employer liability,ILO LS 1949,1949,,,1972,SSPW 1981; SSPW 2019,1949,River worker natives,1962,ILR 1963:87(2),1972,SSPW 1981,,,1972,SSPW 1981,100,unlimited,62,6 months,Sub-Saharan Africa,1,0.049,3.5,Belgium
Cambodia,811,1953,1936,US Army 1943,1997,Cambodia 1997,,,1997,Cambodia 1997,1953,yes,Employer liability,US Army 1943,,,,1936,US Army 1943,1936,,1936,US Army 1943,1972,ILO LS 1972,1936,US Army 1943,1936,US Army 1936,70,unlimited,75,unlimited,South-eastern Asia,1,NA,17.2,France
Cameroon,471,1960,1937,Njikam 1986; ILO LS 1937,1959,Njikam 1986; ILR 1961 84(3),,,1959,Njikam 1986; ILR 1961 84(3),1959,yes,Risk-Pooling,Njikam 1986,1944,,,1977,ILO LS 1977,1937,"Formal, non-native, industrial only",1959,Mvodo and Le Faou 1973,1969,Nijikam 1987; Mvodo & Le Fauo 1973,,,1977,ILO LS 1977,85,unlimited,66.7,unlimited,Sub-Saharan Africa,1,0.124,6.9,France
Canada,20,1841,1918,Greene 1960,1918,Greene 1960,1918,Greene 1960,1949,Greene 1960,1918,no,Risk-Pooling,Greene 1960,1908,1923,Nova Scotia only,1961,ILO 1935 (Report on Social Insurance); inferred,1918,Greene 1960,1949,SSPW 1949,1928,ILO 1935 (Report on Social Insurance),,,1949,inferred,85,unlimted,87.5,unlimited,Northern America,0,0.691,69.1,UK
Cape Verde,402,1975,1960,SSPW 2017,1978,SSPW 2017,,,1978,SSPW 2017,1978,yes,Employer liability,ILO LS 1960; ILO LS 1961,1960,,,1978,SSPW 1981,1960,ILO LS 1960; ILO LS 1961,1978,SSPW 1981,1978,SSPW 1981,,,1978,SSPW 1981,70,unlimited,66.7,unlimited,Sub-Saharan Africa,1,0.566,50,Portugal
Central African Republic,482,1958,1935,SSPW 2017,1964,SSPW 1967,,,1964,SSPW1967,1961,yes,Employer liability,"SSPW 1967, Radipati et al 1990, 387",1935,,,1964,SSPW 1967,1935,"Covers all formal blue-collar workers, probably not implemented or extreme barriers to access, but nothing legal that we can find to code otherwise",1935,ILO LS 1935,1964,SSPW 1967,,,1964,SSPW 1967,90,192 months,63.8,unlimited,Sub-Saharan Africa,1,0.139,NA,France
Chad,483,1958,1935,SSPW 2017,1970,SSPW 2017,,,1970,SSPW 2017,1970,yes,Employer liability,SSPW 2017,1935,,,1970,SSPW 1973,1935,"Covers all formal blue-collar workers, probably not implemented or extremem barriers to access, but nothing legal that we can find",1935,ILO LS 1935,1970,SSPW 1973,,,1970,SSPW 1973,90,unlimited,66.7,unlimited,Sub-Saharan Africa,1,0.047,4.7,France
Chile,155,1839,1916,"US Bureau of Labor Statistics 1917, p.556-557",1968,ILO LS 1968,,,1968,ILO LS 1968,1916,no,Employer liability,"US Bureau of Labor Statistics 1917, p.556-557",1916,,,1931,SSPW 1949,1916,under 2000 pesos earnings,1916,"US Bureau of Labor Statistics 1917, p.556-557",1968,SSPW 1973; ILO LS 1968,,,1968,ILO LS 1968,70,unlimited,100,12 months,Latin America and the Caribbean,1,0.76,68.7,Spain
China,710,1860,1951,China 1951,1951,China 1951,1951,China 1951,2010,SSPW 2017,1951,no,Risk-Pooling,China 1951,1951,,,2004,SSPW 2004,1951,"Railyway, Shipping and Postal firms; factories and mining operations with more than 100 workers",2004,Guthrie and Zulfa 2008,2004,SSPW 2004,2004,Guthrie and Zulfa 2008,2015,Casale and Zhu 2013,85,unlimited,100,12 months,Eastern Asia,1,0.242,31.8,None
Colombia,100,1831,1915,ILO 1935,1950,ILO LS 1950,,,1964,"ILO LS 1964, U.S. Department of Health and Human services 1967",1915,no,Employer liability,US Bureau of Labor Statistics 1917:311,1915,1915,partial,1964,ILO LS 1964,1915,large firms only,1950,"US Bureau of Labor Statistics 1917:311, ILO LS 1950",1964,"ILO LS 1964, U.S. Department of Health and Human services 1967",,,,,75,unlimited,100,6 months,Latin America and the Caribbean,1,0.445,37.7,Spain
Comoros,581,1975,1925,See Madagascar,2006,Comoros 2006,1958,See Madagascar,1958,See Madagascar,1984,yes,Employer liability,NATLEX; See Madagascar,,,,-99,,1925,limited  ,1984,Comoros 1984; NATLEX,2006,Comoros 2006,,,-99,,NA,NA,NA,NA,Sub-Saharan Africa,1,NA,NA,France
Congo,484,1958,1928,ILO LS 1928,1958,ILO LS 1957,,,1958,ILO LS 1957,1958,yes,Employer liability,ILO LS 1928,1962,,,1964,ILO LS 1964,1928,railway workers,1958,ILO LS 1928; ILO LS 1957,1964,ILO LS 1964; SSPW 1967,,,1964,ILO LS 1964,60,unlimited,55.6,unlimited,Sub-Saharan Africa,1,0.142,14.2,France
Costa Rica,94,1920,1925,ILO 1935,1925,ILO LS 1925,,,1925,ILO LS 1925,1925,no,Risk-Pooling,ILO LS 1925,1925,1925,wage cap 10 colons per day,1982,"ILO LS 1925, 1982",1925,wage cap at 10 colons per day,1943,"ILO LS 1925, 1943",1982,ILO LS 1982,1925,only with machines,1982,"ILO LS 1925, 1982",90,unlimited,81.75,24 months,Latin America and the Caribbean,1,0.601,58.1,Spain
Croatia,344,1992,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1922,Farman and Marren Hale 1949 ,1992,yes,Risk-Pooling,Bureau of Labor Statistics 1943,2006,,,1946,ILO LS 1946,1907,,1922,US Bureau of Labor Statistics 1943; ILO 1935 (Report on Social Insurance),1922,Bureau of Labor Statistics 1943,,,1958,ILO LS 1958; SSPW 1961,100,18 months,100,18 months,Southern Europe,0,0.682,68,Russian
Cuba,40,1902,1916,ILO 1935,1940,Steinhaus 1949; Cuban Constitution 1940,,,1940,Steinhaus 1949; Cuban Constitution 1940,1916,no,Employer liability,US Bureau of Labor Statistics 1917: 312,1916,1916,,1949,Steinhaus 1949; ILO LS 1949,1916,,1916,US Bureau of Labor Statistics 1917,1961,ILO LS 1961,1916,,1916,ILO 1935 (Report on Social Insurance),70,unlimited,80,6 months,Latin America and the Caribbean,0,0.944,100,Spain
Cyprus,352,1960,1925,"ILO LS 1925, p. 399",1964,ILO LS 1964,,,1964,ILO LS 1964,1960,yes,Employer liability,ILO LS 1925,1957,,,1964,ILO LS 1964,1925,miners,1953,ILO LS 1953,1964,ILO LS 1964,,,1964,ILO LS 1964,65,unlimited,60,unlimited,Western Asia,0,0.682,26.2,None
Czech Republic,316,1918,1888,ILO 1935 (Report on Social Insurance),1888,ILO 1962 (Labor Review),,,1888,ILO 1962 (Labor Review),1918,yes,Risk-Pooling,ILO 1962 (Labor Review),1887,1888,,1907,ILO 1935 (Report on Social Insurance),1888,only parts of the country covered,1907,ILO 1935 (Report on Social Insurance),1907,ILO 1935 (Report on Social Insurance),,,1948,SSPW 1948,75,unlimited,100,12 months,Eastern Europe,0,0.662,68.2,None
Democratic Republic of the Congo,490,1960,1949,ILO LS 1949,1949,ILO LS 1949,1949,ILO LS 1949,1962,ILR 1963 87(5),1962,yes,Risk-Pooling,ILO LS 1949; ILR 1963 87(5),1949,,,1962,ILR 1963 87(5),1949,,1962,ILR 1963 87(5),1962,ILR 1963 87(5),,,1962,ILR 1963 87(5),80,unlimited,66.7,unlimited,Sub-Saharan Africa,1,0.262,66.2,Belgium
Denmark,390,1816,1898,ILO 1935,1898,ILO 1935,,,1898,US Bureau of Labor 1912,1898,no,Risk-Pooling,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 728 (Zotero),1898,1917,,1933,US Bureau of Labor Statistics 1917; ILO LS 1933,1898,,1898,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 728 (Zotero),1917,US Bureau of Labor Statistics 1917,1908,larger farms only,1917,US Bureau of Labor Statistics 1917,83,unlimited,100,5.5 months,Northern Europe,0,0.88,88,None
Djibouti,522,1977,1957,SSPW 2017,2002,(inferred),,,2002,SSPW 2013,1977,yes,Employer liability,SSPW 2017,1957,,,2002,SSPW 2017,,,1972,SSPW 2017,2002,SSPW 2017,,,2002,SSPW 2017,90,unlimited,70.8,unlimited,Sub-Saharan Africa,1,NA,15.1,France
Dominica,54,1967,1938,Dominica 1938,1976,Dominica 1995,1976,Dominica 1995,1985,"Dominica 1985, 1995",1967,yes,Employer liability,Dominica 1938,1938,,,1985,ILO LS 1975; SSPW 1999,1938,,1938,Dominica 1938,1985,ILO LS 1975; SSPW 1999,,,1985,ILO LS 1975; SSPW 1999,70,unlimited,60,6 months,Latin America and the Caribbean,1,0.608,68.3,Various
Dominican Republic,42,1844,1932,ILO LS 1932,1932,"Steinhaus 1949, p.34",,,1932,"Steinhaus 1949, p.34",1932,no,Employer liability,ILO LS 1932,1932,1932,,1948,ILO LS 1932; ILO LS 1948,1932,,1932,ILO LS 1932: p. 315ff.,1948,ILO LS 1948,1932,,1932,ILO LS 1932,90,unlimited,75,12 months,Latin America and the Caribbean,1,NA,45.2,Spain
Ecuador,130,1854,1921,ILO 1935,1938,ILO LS 1938,1938,ILO LS 1938,2001,SSPW 2019,1921,no,Employer liability,"ILO LS 1938 (this law is also employer liability, so it is assumed the former was as well)",1921,,,1942,SSPW 1949,1921,,1938,ILO LS 1938,1964,SSPW 1973,,,1964,SSPW 1973,85,unlimited,70.5,24 months,Latin America and the Caribbean,1,0.49,43.1,Spain
Egypt,651,1922,1936,ILO LS 1936,1942,ILO LS 1942,,,1942,ILO LS 1942,1936,no,Employer liability,ILO LS 1936,1936,,,1959,ILO LS 1959,1936,,1936,ILO LS 1936,1959,ILO LS 1959,,,1959,ILO LS 1959,90,unlimited,100,unlimited,Northern Africa,1,0.511,36,UK
El Salvador,92,1875,1911,ILO 1935,1953,SSPW 2017,1953,Franzoni 2013,2012,SSPW 2019,1911,no,Employer liability,US Bureau of Labor Statistics 1917:340,1911,1911,Commerce industry,1981,SSPW 1981,1911,"Mines, electricity and transport",1953,SSPW 2017; ILO LS 1953,1953,ILO LS 1953,1911,heavy machinery only,none,SSPW 2019,75,unlimited,75,12 months,Latin America and the Caribbean,1,0.268,30.7,Spain
Equatorial Guinea,411,1968,1947,SSPW 2017,1947,ILO LS 1947,1947,ILO LS 1947,1984,Equatorial Guinea 1984,1984,yes,Employer liability,SSPW 2017,1947,,,1984,NATLEX inferred,1947,,1984,NATLEX inferred,1984,NATLEX inferred,,,1984,NATLEX inferred,55,48 months,50,unlimited,Sub-Saharan Africa,1,0.145,14.5,Spain
Estonia,366,1918,1903,US Bureau of Labor Statistics 1910; Norkus et al. 2020,1903,US Bureau of Labor Statistics 1910; Norkus et al. 2020,,,1903,US Bureau of Labor Statistics 1910; Norkus et al. 2020,1918,yes,Risk-Pooling,US Bureau of Labor 1910,1912,,,1940,ILO LS 1922 (USSR),1903,,1940,ILO LS 1922 (USSR),1940,ILO LS 1922 (USSR),1936,,1940,Norkus et al. 2020; Acession to USSR laws,50,unlimited,100,6 months,Northern Europe,0,0.768,76.8,Russian
Eswatini,572,1968,1939,ILO LS 1939,1983,Swaziland 1983,,,1983,Swaziland 1983,1968,yes,Employer liability,SSPW 2017,1963,,,1983,Fultz and Pieris 1999,1939,miners,1963,SSPW 1981; ILO LS 1939,1983,Fultz and Pieris 1999; SSPW 1999,,,1983,Fultz and Pieris 1999,NA,NA,NA,NA,Sub-Saharan Africa,1,0.626,NA,UK
Ethiopia,530,1816,1962,ILO LS 1962,1974,SSPW 1999,,,2011,Shiferaw et al. 2017,1962,no,Employer liability,ILO LS 1962,1963,1962,,2011,SSPW 2019,1962,,2011,inferred,2011,,,,2011,SSPW 2019,59,unlimited,87.5,12 months,Sub-Saharan Africa,1,0.174,7.8,None
Federated States of Micronesia,987,1986,1968,SSPW 2017,1982,SSPW 2017,,,1982,SSPW 2017,1986,yes,Employer liability,(inferred),,,,1982,SSPW 2018,,,1982,SSPW 2018,1982,SSPW 2018,,,1982,SSPW 2018,NA,NA,NA,NA,Micronesia,1,NA,NA,None
Fiji,950,1970,1940,ILO LS 1940; ILR 1940: 42(6),1940,ILO LS 1940; ILR 1940: 42(6),2017,Fiji 2017,1940,ILO LS 1940; ILR 1940: 42(6),1970,yes,Employer liability,ILO LS 1940; ILR 1940: 42(6),1965,,,1966,SSPW 1973,1940,,1966,SSPW 1973,none,SSPW 2018,,,1966,SSPW 1973,60,60 months,66,60 months,Melanesia,1,0.401,55.7,UK
Finland,375,1917,1895,ILO 1935,1895,ILO 1935,,,1895,ILO 1935,1917,yes,Risk-Pooling,"Meeker (1914): Workmen's Compensation Laws of the United States and Foreign Countries, p. 146 (Zotero)",1895,,,1918,ILO 1935 (Report on Social Insurance),1895,Heavy industry,1918,Meeker 1914,1918,Meeker 1914; ILO 1935 (Report on Social Insurance),1918,larger farms only,1961,ILO 1935 (Report on Social Insurance); SSPW 1961,85,unlimited,75,unlimited,Northern Europe,0,0.665,66.5,None
France,220,1816,1894,ILO 1935,1894,ILO 1935,,,1894,BLS 1910,1894,no,Risk-Pooling,"ILO 1935, p. 148",1894,1935,,1935,ILO LS 1935,1894,"miners, 1898 starts to cover industry",1898,ILO 1935 (Report on Social Insurance),1935,ILO LS 1935,1922,ILO 1935 (Report on Social Insurance),1935,ILO LS 1935,100,unlimited,76.7,unlimited,Western Europe,0,0.741,74.1,None
Gabon,481,1958,1935,ILO LS 1935,1958,Gerig 1966,,,1958,Gerig 1966,1958,yes,Risk-Pooling,Gerig 1966,1935,,,1958,Gerig 1966,1935,"Covers all formal blue-collar workers, probably not implemented or extreme barriers to access, but nothing legal that we can find",1935,ILO LS 1935,1958,Gerig 1966,,,1958,Gerig 1966,90,unlimited,100,unlimited,Sub-Saharan Africa,1,0.45,45,France
Gambia,420,1965,1940,ILR 1941:44(6),1990,Gambia 1990,1990,Gambia 1990,1990,Gambia 1990,1965,yes,Employer liability,ILR 1941:43(3),1940,,,1990,Gambia 1990,1942,"Sixteen classes of employment are covered, including, as numbered in the Order: (1) the operation or maintenance of mechanically propelled vehicles or aircraft or of railways; (2) the manufacture or handling of explosives; (3) mining, quarrying or dredging; (4) employment on ships propelled or towed by mechanical power; (5) the loading, unloading, fuelling, repairing, painting etc., of ships; (6) the construction, repair or demolition of buildings, embankments etc., above a certain size and of roads, bridges, wharves, etc.; (7) the setting up, repairing etc., of telegraph or telephone lines; (11) the generation, distribution etc., of electrical energy; (14) domestic services; and (16) any occupation involving blasting operations (ILR 1941:43(2))",1990,Gambia 1990,1990,Gambia 1990,,,1990,Gambia 1990,53,unlimited,60,6 months,Sub-Saharan Africa,1,0.234,23.4,UK
Georgia,372,1918,1922,ILO LS 1922,1922,Abramson 1929,,,1922,Abramson 1931,1922,no,Risk-Pooling,Abramson 1929,1997,,,1922,ILO LS 1922,1922,,1922,ILO LS 1922,1922,ILO LS 1922,,,1922,ILO LS 1922,50,variable,100,unlimited,Western Asia,0,0.233,48.9,Russian
