Country,Region,South
Rwanda,Africa,Global South
Saudi Arabia,Middle east,Global South
Solomon Islands,Asia & Pacific,Global South
South Sudan,Africa,Global South
Sudan,Arab States,Global South
Saint Helena,Africa,Global South
Sierra Leone,Africa,Global South
Senegal,Africa,Global South
Somalia,Arab States,Global South
Suriname,South/Latin America,Global South
Sao Tome and Principe,Africa,Global South
El Salvador,South/Latin America,Global South
Syrian Arab Republic,Asia & Pacific,Global South
Swaziland,Africa,Global South
Turks and Caicos Islands,South/Latin America,Global South
Chad,Africa,Global South
French Southern Territories,Asia & Pacific,Global South
Togo,Africa,Global South
Thailand,Asia & Pacific,Global South
Tajikistan,Asia & Pacific,Global South
Tokelau,Asia & Pacific,Global South
Turkmenistan,Asia & Pacific,Global South
Tunisia,Arab States,Global South
Tonga,Asia & Pacific,Global South
Timor-Leste,Asia & Pacific,Global South
Trinidad and Tobago,South/Latin America,Global South
Tuvalu,Asia & Pacific,Global South
"Tanzania, United Republic of",Africa,Global South
Uganda,Africa,Global South
Uruguay,South/Latin America,Global South
Uzbekistan,Asia & Pacific,Global South
Saint Vincent and the Grenadines,South/Latin America,Global South
Venezuela,South/Latin America,Global South
"Virgin Islands, British",South/Latin America,Global South
"Virgin Islands, U.S.",South/Latin America,Global South
Vietnam,Asia & Pacific,Global South
Vanuatu,Asia & Pacific,Global South
Wallis and Futuna,Asia & Pacific,Global South
Samoa,Asia & Pacific,Global South
Yemen,Middle east,Global South
Mayotte,Africa,Global South
South Africa,Africa,Global South
Zambia,Africa,Global South
Zimbabwe,Africa,Global South
Saint Barthelemy,South/Latin America,Global South
Saint Martin,South/Latin America,Global South
